ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH,YEAR,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,CONTACTFIRSTNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,DEALSIZE
ef2f730d-90f7-5fff-979b-8addc022a91d,37,100,17,5016.83,10/10/2016,Shipped,4,10,2016,Motorcycles,118,S10_2016,Corporate Gift Ideas Co.,Julie,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Medium
f989abc4-bd46-5749-9267-3cff910da0d3,27,100,4,3660.93,10/28/2016,Shipped,4,10,2016,Motorcycles,118,S10_2016,Technics Stores Inc.,Juri,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Medium
cbc5a903-899e-5b8b-8197-f61b47022a56,42,100,12,4695.6,11/11/2016,Shipped,4,11,2016,Motorcycles,118,S10_2016,Daedalus Designs Imports,Martine,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Medium
c7656409-e303-5a9f-9a51-c5ae451fc497,38,96.34,4,3660.92,11/18/2016,Shipped,4,11,2016,Motorcycles,118,S10_2016,Herkku Gifts,Veysel,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Medium
431abce7-46fd-5254-a155-c7f73fbd5321,24,100,5,3025.92,12/1/2016,Shipped,4,12,2016,Motorcycles,118,S10_2016,Mini Wheels Co.,Julie,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Medium
c885ec6a-971f-5407-b94d-d962f02d6f67,27,100,4,6065.55,2/24/2016,Shipped,1,2,2016,Motorcycles,193,S10_4698,Land of Toys Inc.,Kwai,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Medium
cfa0a719-7df3-535a-9d41-1299d3ad4e55,46,100,2,9264.86,4/29/2016,Shipped,2,4,2016,Motorcycles,193,S10_4698,"Australian Collectors, Co.",Peter,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Large
7244b3ca-7845-5deb-8f27-71b21358c825,31,100,4,7023.98,7/1/2016,Shipped,3,7,2016,Motorcycles,193,S10_4698,Lyon Souveniers,Daniel,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Large
83a3254a-38ec-56f7-8426-2cd3c04b9846,33,100,8,5176.38,8/25/2016,Shipped,3,8,2016,Motorcycles,193,S10_4698,Toys4GrownUps.com,Julie,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Medium
337c22de-de7a-5c10-bfa9-2981add2ea64,22,100,16,4132.7,10/10/2016,Shipped,4,10,2016,Motorcycles,193,S10_4698,Corporate Gift Ideas Co.,Julie,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Medium
8a255d1b-1e75-51c9-9baa-446161f19875,20,100,3,4183,10/28/2016,Shipped,4,10,2016,Motorcycles,193,S10_4698,Technics Stores Inc.,Juri,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Medium
37573044-f7f8-523e-952e-3073124966fe,41,100,11,8892.9,11/11/2016,Shipped,4,11,2016,Motorcycles,193,S10_4698,Daedalus Designs Imports,Martine,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Large
962636cb-7a71-563b-997b-b0b01296633d,45,100,3,8714.7,11/18/2016,Shipped,4,11,2016,Motorcycles,193,S10_4698,Herkku Gifts,Veysel,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Large
318ee4c7-b156-5e32-8e84-4cdc8db9c0c5,49,100,4,8065.89,12/1/2016,Shipped,4,12,2016,Motorcycles,193,S10_4698,Mini Wheels Co.,Julie,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Large
e35222ab-cad2-50fb-8267-fc11f3e84157,50,100,2,7208,2/11/2016,Shipped,1,2,2016,Classic Cars,136,S10_4757,Danish Wholesale Imports,Jytte,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Large
8eaf50e7-0bbd-5328-b7ae-af701e5dfed0,46,100,11,5004.8,4/28/2016,Shipped,2,4,2016,Classic Cars,136,S10_4757,Salzburg Collectables,Georg,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Medium
4dcc1303-f9cf-5861-a14a-a297cbee13ed,33,100,2,4398.24,6/12/2016,Shipped,2,6,2016,Classic Cars,136,S10_4757,"Stylish Desk Decors, Co.",Ann,(171) 555-0297,35 King George,,London,,WX3 6FW,UK,EMEA,Brown,Medium
dccc9f5b-f10a-5f0b-9baa-90db2447cc28,49,100,15,5597.76,8/10/2016,Shipped,3,8,2016,Classic Cars,136,S10_4757,Mini Creations Ltd.,Wing C,5085559555,4575 Hillside Dr.,,New Bedford,MA,50553,USA,NA,Tam,Medium
06f14b86-f516-5b6b-bc22-d09533a9881d,32,100,13,4526.08,10/6/2016,Shipped,4,10,2016,Classic Cars,136,S10_4757,"Toys of Finland, Co.",Matti,90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Medium
c02fb3f5-6c4b-5522-9597-57bec4670955,44,100,9,5924.16,10/23/2016,Cancelled,4,10,2016,Classic Cars,136,S10_4757,Scandinavian Gift Ideas,Maria,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Medium
b414f33c-c669-58ca-aa44-9be4e29606ec,24,100,12,3492.48,11/8/2016,Shipped,4,11,2016,Classic Cars,136,S10_4757,Alpha Cognac,Annette,61.77.6555,1 rue Alsace-Lorraine,,Toulouse,,31000,France,EMEA,Roulet,Medium
881df01c-7360-5cea-8839-0308002a4c47,26,100,9,3854.24,11/14/2016,Shipped,4,11,2016,Classic Cars,136,S10_4757,"Double Decker Gift Stores, Ltd",Thomas,(171) 555-7555,120 Hanover Sq.,,London,,WA1 1DP,UK,EMEA,Hardy,Medium
56122998-47ba-5ffc-ac2d-646fe18aad7d,45,100,6,5324.4,11/26/2016,Shipped,4,11,2016,Classic Cars,136,S10_4757,Enaco Distributors,Eduardo,(93) 203 4555,"Rambla de Catalu�a, 23",,Barcelona,,8022,Spain,EMEA,Saavedra,Medium
9fd70cb6-153b-5ca2-9af5-02c657735dff,42,100,4,5398.26,1/29/2016,Shipped,1,1,2016,Classic Cars,147,S10_4962,Baane Mini Imports,Jonas,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Medium
fa16b26f-a8df-527c-ae4d-1708fc11ccd1,31,100,8,4305.28,4/1/2016,Shipped,2,4,2016,Classic Cars,147,S10_4962,"La Corne D'abondance, Co.",Marie,(1) 42.34.2555,"265, boulevard Charonne",,Paris,,75012,France,EMEA,Bertrand,Medium
e85e7deb-899e-507a-8cc3-b677e95bdfff,22,100,4,3347.74,5/28/2016,Shipped,2,5,2016,Classic Cars,147,S10_4962,"Corrida Auto Replicas, Ltd",Mart�n,(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Medium
d5792565-15bf-5433-9bda-d18a793488f5,26,100,4,3188.12,7/24/2016,Shipped,3,7,2016,Classic Cars,147,S10_4962,Technics Stores Inc.,Juri,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Medium
d5eb4423-fb27-59b4-89ba-4d85c062ba70,20,100,1,3191.2,9/19/2016,Shipped,3,9,2016,Classic Cars,147,S10_4962,"Dragon Souveniers, Ltd.",Eric,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Medium
af1ae08c-ed29-5308-a229-e203c11e0f40,21,100,2,3536.82,10/21/2016,Resolved,4,10,2016,Classic Cars,147,S10_4962,Mini Auto Werke,Roland,7675-3555,Kirchgasse 6,,Graz,,8010,Austria,EMEA,Mendel,Medium
bd967f99-8c9d-5780-ab57-78e9676c102d,33,100,9,5362.83,11/6/2016,Shipped,4,11,2016,Classic Cars,147,S10_4962,"Stylish Desk Decors, Co.",Ann,(171) 555-0297,35 King George,,London,,WX3 6FW,UK,EMEA,Brown,Medium
38ba2d58-b947-5168-9bc9-d200040048ed,28,100,1,3433.36,11/13/2016,Shipped,4,11,2016,Classic Cars,147,S10_4962,"Classic Gift Ideas, Inc",Francisca,2155554695,782 First Street,,Philadelphia,PA,71270,USA,NA,Cervantes,Medium
0527e96e-8f58-5293-8f53-f60aec1e78f6,26,100,4,4263.74,11/25/2016,Shipped,4,11,2016,Classic Cars,147,S10_4962,"Saveley & Henriot, Co.",Mary,78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Medium
856232f5-32e9-5312-b58b-5b10001c1a1a,31,100,15,4076.19,12/9/2016,Shipped,4,12,2016,Classic Cars,147,S10_4962,Diecast Collectables,Valarie,6175552555,6251 Ingle Ln.,,Boston,MA,51003,USA,NA,Franco,Medium
eec7f397-2cad-5291-83f5-fd7ea86bd590,33,100,6,5265.15,3/3/2016,Shipped,1,3,2016,Classic Cars,194,S12_1099,Cruz & Sons Co.,Arnold,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,,Makati City,,1227 MM,Philippines,Japan,Cruz,Medium
331c639e-89ab-5007-a96f-af913c3ee4a8,42,100,10,7599.9,5/8/2016,Shipped,2,5,2016,Classic Cars,194,S12_1099,Marseille Mini Autos,Laurence,91.24.4555,"12, rue des Bouchers",,Marseille,,13008,France,EMEA,Lebihan,Large
4881d5a1-a868-5445-91b5-71876e8827d2,42,100,7,8008.56,7/2/2016,Shipped,3,7,2016,Classic Cars,194,S12_1099,Mini Gifts Distributors Ltd.,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Large
1efd7f4f-ce72-5a83-a847-b6dc5ff32838,48,100,7,9245.76,9/5/2016,Shipped,3,9,2016,Classic Cars,194,S12_1099,Collectables For Less Inc.,Allen,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,NA,Nelson,Large
73bd1381-6ef9-5bc6-8ac3-6bf29e505eef,41,100,2,8296.35,10/10/2016,Shipped,4,10,2016,Classic Cars,194,S12_1099,Corporate Gift Ideas Co.,Julie,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Large
653bb5ad-268b-50d6-8068-f37291f2a9ec,30,100,2,5019.9,11/4/2016,Shipped,4,11,2016,Classic Cars,194,S12_1099,"Anna's Decorations, Ltd",Anna,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Medium
2d5b35fc-3ec6-5fa9-825c-293f11542ddb,27,100,14,5411.07,11/12/2016,Shipped,4,11,2016,Classic Cars,194,S12_1099,Herkku Gifts,Veysel,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Medium
1436f7e9-50a0-5f67-8921-6438fbdd680a,21,100,3,3840.9,11/20/2016,Shipped,4,11,2016,Classic Cars,194,S12_1099,"Toms Spezialitten, Ltd",Henriette,0221-5554327,Mehrheimerstr. 369,,Koln,,50739,Germany,EMEA,Pfalzheim,Medium
72e6b667-093b-5d18-a24d-a30da79ae3c5,20,100,8,3930.4,12/2/2016,Shipped,4,12,2016,Classic Cars,194,S12_1099,Euro Shopping Channel,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Medium
5cb5ffd6-13d0-5c45-a295-a9367ae99142,33,100,5,5521.89,10/4/2016,Shipped,4,10,2016,Classic Cars,194,S12_1099,"Blauer See Auto, Co.",Roland,+49 69 66 90 2555,Lyonerstr. 34,,Frankfurt,,60528,Germany,EMEA,Keitel,Medium
1c13ccd5-9f8d-5254-9eeb-532307ad1268,41,100,15,8690.36,2/11/2016,Shipped,1,2,2016,Classic Cars,207,S12_1108,Danish Wholesale Imports,Jytte,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Large
54ae6372-63c1-5b03-ae1f-bf2f267050ad,33,100,9,6034.38,4/16/2016,Shipped,2,4,2016,Classic Cars,207,S12_1108,"Dragon Souveniers, Ltd.",Eric,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Medium
ef388c6a-18b2-582d-869c-c77533e27064,46,100,2,11279.2,6/3/2016,Shipped,2,6,2016,Classic Cars,207,S12_1108,Muscle Machine Inc,Jeff,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,NA,Young,Large
7a2a3eea-4f1f-5ebf-b7ad-fe9c8f9b7927,33,100,12,8023.29,8/8/2016,Shipped,3,8,2016,Classic Cars,207,S12_1108,Mini Gifts Distributors Ltd.,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Large
ba3a0bc9-2b36-5c7f-befc-16ba90395b72,20,100,11,4904,9/28/2016,Shipped,3,9,2016,Classic Cars,207,S12_1108,Euro Shopping Channel,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Medium
6d430da4-4192-5fe0-9c19-05db4e93e65d,44,100,3,8594.52,10/22/2016,Shipped,4,10,2016,Classic Cars,207,S12_1108,"Dragon Souveniers, Ltd.",Eric,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Large
1820ba3c-a396-57de-bca6-2fb871d44692,33,100,2,7474.5,11/6/2016,Shipped,4,11,2016,Classic Cars,207,S12_1108,L'ordine Souveniers,Maurizio,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy,EMEA,Moroni,Large
a7c7f756-afb5-5a1f-afe2-de7d3bd0e7bb,21,100,13,3883.74,11/14/2016,Shipped,4,11,2016,Classic Cars,207,S12_1108,Mini Creations Ltd.,Wing C,5085559555,4575 Hillside Dr.,,New Bedford,MA,50553,USA,NA,Tam,Medium
7462ffef-a234-5e85-ab87-b0c26938ac39,47,100,5,8887.7,11/26/2016,Shipped,4,11,2016,Classic Cars,207,S12_1108,Super Scale Inc.,Leslie,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA,NA,Murphy,Large
e43e5821-fa1e-507e-bc24-7a4365502a4c,27,100,8,3394.98,1/29/2016,Shipped,1,1,2016,Trucks and Buses,136,S12_1666,Baane Mini Imports,Jonas,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Medium
114e2c04-a5ca-5fc2-b381-f1307b2b2c59,21,100,2,3415.44,3/26/2016,Shipped,1,3,2016,Trucks and Buses,136,S12_1666,Mini Gifts Distributors Ltd.,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Medium
39468e00-ada5-5f61-894d-09bd463a03c6,21,100,8,2439.57,5/28/2016,Shipped,2,5,2016,Trucks and Buses,136,S12_1666,"Corrida Auto Replicas, Ltd",Mart�n,(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Small
d289cc64-3749-5055-8efb-c3ff77502b39,38,100,8,4829.8,7/24/2016,Shipped,3,7,2016,Trucks and Buses,136,S12_1666,Technics Stores Inc.,Juri,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Medium
bb3beb8d-1565-5eb0-92a8-14988a8e99f7,30,100,5,4100.1,9/19/2016,Shipped,3,9,2016,Trucks and Buses,136,S12_1666,"Dragon Souveniers, Ltd.",Eric,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Medium
5a662f81-e996-5ec3-8681-16df54399ae3,49,100,6,6563.06,10/21/2016,Resolved,4,10,2016,Trucks and Buses,136,S12_1666,Mini Auto Werke,Roland,7675-3555,Kirchgasse 6,,Graz,,8010,Austria,EMEA,Mendel,Medium
8dae908b-fff9-5260-be8f-8cf3d349b98b,43,100,1,6817.22,11/6/2016,Shipped,4,11,2016,Trucks and Buses,136,S12_1666,"Australian Gift Network, Co",Tony,61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Medium
25e070a0-d57b-5d59-84e7-a3cc6299a30a,41,100,5,6163.94,11/13/2016,Shipped,4,11,2016,Trucks and Buses,136,S12_1666,"Classic Gift Ideas, Inc",Francisca,2155554695,782 First Street,,Philadelphia,PA,71270,USA,NA,Cervantes,Medium
da68a9e9-f2a2-57c9-acd4-12f103f05bfb,38,100,8,4933.92,11/25/2016,Shipped,4,11,2016,Trucks and Buses,136,S12_1666,"Saveley & Henriot, Co.",Mary,78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Medium
e2a76dcd-397d-5b75-9394-a990604411f8,28,100,3,4056.36,12/5/2016,Shipped,4,12,2016,Trucks and Buses,136,S12_1666,Canadian Gift Exchange Network,Yoshi,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,NA,Tannamuri,Medium
340024f4-642f-5d8b-8220-60f17d6984c4,21,100,1,3036.6,2/24/2016,Shipped,1,2,2016,Motorcycles,150,S12_2823,Land of Toys Inc.,Kwai,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Medium
96157c44-6135-558d-8bda-9893db5b24a1,50,100,4,8284,5/7/2016,Shipped,2,5,2016,Motorcycles,150,S12_2823,Reims Collectables,Paul,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Large
39d28601-9b7b-51ad-8d4d-0fecd2be53b1,20,100,1,2711.2,7/1/2016,Shipped,3,7,2016,Motorcycles,150,S12_2823,Lyon Souveniers,Daniel,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Small
019fccea-bb18-596b-b8f0-69d99ecb1269,49,100,5,8339.8,8/25/2016,Shipped,3,8,2016,Motorcycles,150,S12_2823,Toys4GrownUps.com,Julie,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Large
bd16c7a2-519a-506f-93fd-f43ad1abea00,38,100,13,6238.84,10/10/2016,Shipped,4,10,2016,Motorcycles,150,S12_2823,Corporate Gift Ideas Co.,Julie,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Medium
2ba03315-499e-5b8e-b401-10d63bfa9430,35,100,13,4639.25,11/4/2016,Shipped,4,11,2016,Motorcycles,150,S12_2823,"Anna's Decorations, Ltd",Anna,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Medium
ec1f6f0c-8a3b-5474-9c59-1099f301f341,40,100,8,6747.6,11/11/2016,Shipped,4,11,2016,Motorcycles,150,S12_2823,Daedalus Designs Imports,Martine,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Medium
6a39268f-bc2b-5525-8e4e-24288609922f,28,100,1,4512.48,11/18/2016,Shipped,4,11,2016,Motorcycles,150,S12_2823,Toys4GrownUps.com,Julie,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Medium
6a9accbd-f2da-5865-8fe4-837623916946,25,100,1,4029,12/1/2016,Shipped,4,12,2016,Motorcycles,150,S12_2823,Mini Wheels Co.,Julie,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Medium
27866d83-8654-5b95-9022-038eb6bc7176,34,100,1,5958.5,1/31/2016,Shipped,1,1,2016,Classic Cars,151,S12_3148,Euro Shopping Channel,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Medium
18575a9e-9ecd-5917-a6c0-c843a5137286,43,100,10,5911.64,4/16/2016,Shipped,2,4,2016,Classic Cars,151,S12_3148,"Dragon Souveniers, Ltd.",Eric,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Medium
12c375c7-c623-55ed-bfe9-f028243e2eac,46,100,3,7366.44,6/3/2016,Shipped,2,6,2016,Classic Cars,151,S12_3148,Muscle Machine Inc,Jeff,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,NA,Young,Large
79e23b03-d902-5353-b50d-4a7d09c9fd0d,33,100,13,4985.64,8/8/2016,Shipped,3,8,2016,Classic Cars,151,S12_3148,Mini Gifts Distributors Ltd.,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Medium
e1aefa2e-60e6-5a4a-a2f1-b8f2167103cc,42,100,12,5393.64,9/28/2016,Shipped,3,9,2016,Classic Cars,151,S12_3148,Euro Shopping Channel,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Medium
